id,duration,title,channel,id,viewing,user-id,start,duration,start,duration
,,,,,,,,,762,1
,,,,,,,,,793,1
,,,,,,,,,858,2
,,,,,,481,0,1694,63,1
,,,,,,,,,78,2
,,,,,,,,,81,2
,,,,,,,,,89,6
,,,,,,,,,96,5
,,,,,,,,,103,3
,,,,,,488,0,1694,78,5
,,,,,,500,0,1694,41,1
,,,,,,,,,83,1
,,,,,,,,,87,1
,,,,,,,,,91,2
,,,,,,,,,97,1
,,,,,,,,,100,1
,,,,,,,,,108,1
,,,,,,502,0,1694,22,1
,,,,,,,,,26,1
,,,,,,,,,32,1
,,,,,,,,,36,1
,,,,,,,,,58,1
,,,,,,,,,61,2
,,,,,,,,,76,1
,,,,,,514,0,1694,64,1
,,,,,,,,,75,4
,,,,,,,,,82,3
,,,,,,,,,87,4
,,,,,,,,,96,12
,,,,,,520,0,1694,114,1
,,,,,,540,0,1694,247,2
,,,,,,,,,730,7
,,,,,,548,0,1694,89,2
,,,,,,,,,93,2
,,,,,,,,,97,2
,,,,,,,,,107,4
,,,,,,,,,119,2
,,,,,,,,,170,2
,,,,,,551,0,1694,19,17
,,,,,,556,0,1694,67,1
,,,,,,,,,77,1
,,,,,,,,,92,1
,,,,,,,,,94,1
,,,,,,,,,98,1
,,,,,,,,,104,1
,,,,,,577,0,1694,93,2
,,,,,,,,,96,2
,,,,,,,,,101,1
,,,,,,,,,105,1
,,,,,,579,0,1694,100,8
,,,,,,582,0,1694,18,1
,,,,,,,,,23,4
,,,,,,,,,36,5
,,,,,,,,,56,4
,,,,,,,,,74,6
,,,,,,,,,82,13
,,,,,,,,,97,17
